mapmaker_id,map_or_book_id,country,city,date,map_or_book
26,E,Austria,Güssing,1583,book
68,1,Austria,Salzburg,1551,map
24,B,Austria,Vienna,1508,book
7,1,Austria,Vienna,1520,map
24,C,Austria,Vienna,1522,book
49,4,Austria,Vienna,1545?,map
49,5,Austria,Vienna,1545?,map
40,4,Austria,Vienna,1546,map
40,6,Austria,Vienna,1547,map
40,7,Austria,Vienna,1547,map
49,D,Austria,Vienna,1556,book
49,7,Austria,Vienna,1556,map
49,11,Austria,Vienna,1558,map
49,12,Austria,Vienna,1558,map
49,14,Austria,Vienna,1558,map
49,G,Austria,Vienna,1558,book
49,H,Austria,Vienna,1558,book
65,B,Austria,Vienna,1558,book
65,D,Austria,Vienna,1558,book
49,J,Austria,Vienna,by 1561,book
49,15,Austria,Vienna,by 1561,map
49,16,Austria,Vienna,by 1561,map
49,17,Austria,Vienna,by 1561,map
49,18,Austria,Vienna,by 1561,map
49,19,Austria,Vienna,by 1561,map
49,20,Austria,Vienna,by 1561,map
49,21,Austria,Vienna,by 1561,map
49,22,Austria,Vienna,by 1561,map
49,23,Austria,Vienna,by 1561,map
49,24,Austria,Vienna,by 1561,map
49,25,Austria,Vienna,by 1561,map
49,26,Austria,Vienna,by 1561,map
65,1,Austria,Vienna,1566,map
65,2,Austria,Vienna,1566,map
65,3,Austria,Vienna,1571,map
42,1,Belgium,Antwerp,1526,map
57,A,Belgium,Antwerp,1527-30,book
29,B,Belgium,Antwerp,1530,book
7,E,Belgium,Antwerp,1533,book
29,A,Belgium,Antwerp,1533,book
7,E,Belgium,Antwerp,1534,book
29,A,Belgium,Antwerp,1534,book
7,E,Belgium,Antwerp,1537,book
29,A,Belgium,Antwerp,1537,book
7,E,Belgium,Antwerp,1539,book
7,E,Belgium,Antwerp,1540,book
29,A,Belgium,Antwerp,1540,book
29,E,Belgium,Antwerp,1540,book
56,A,Belgium,Antwerp,1541,book
6,8,Belgium,Antwerp,1543,map
7,E,Belgium,Antwerp,1544,book
17,A,Belgium,Antwerp,1544,book
29,A,Belgium,Antwerp,1544,book
29,8,Belgium,Antwerp,1544,map
46,1,Belgium,Antwerp,1544,map
29,B,Belgium,Antwerp,1544-53,book
7,E,Belgium,Antwerp,1545,book
29,A,Belgium,Antwerp,1545,book
29,F,Belgium,Antwerp,1545,book
29,E,Belgium,Antwerp,1547,book
7,E,Belgium,Antwerp,1548,book
29,A,Belgium,Antwerp,1548,book
36,1,Belgium,Antwerp,1549,map
7,E,Belgium,Antwerp,1550,book
29,A,Belgium,Antwerp,1550,book
41,E,Belgium,Antwerp,1552,book
7,E,Belgium,Antwerp,1553,book
29,A,Belgium,Antwerp,1553,book
41,E,Belgium,Antwerp,1553,book
30,77,Belgium,Antwerp,1555,map
41,E,Belgium,Antwerp,1555,book
12,21,Belgium,Antwerp,1556,map
12,20,Belgium,Antwerp,1556,map
29,J,Belgium,Antwerp,1556,book
56,A,Belgium,Antwerp,1556,book
12,C,Belgium,Antwerp,1557,book
12,22,Belgium,Antwerp,1557,map
26,A,Belgium,Antwerp,1557,book
77,B,Belgium,Antwerp,1558,book
11,1,Belgium,Antwerp,1559,map
41,E,Belgium,Antwerp,1560,book
69,1,Belgium,Antwerp,1560,map
7,E,Belgium,Antwerp,1561,book
29,A,Belgium,Antwerp,1561,book
5,A,Belgium,Antwerp,1562,book
29,E,Belgium,Antwerp,1562,book
37,2,Belgium,Antwerp,1562,map
1,1,Belgium,Antwerp,1564,map
7,E,Belgium,Antwerp,1564,book
29,A,Belgium,Antwerp,1564,book
65,F,Belgium,Antwerp,1564,book
1,2,Belgium,Antwerp,1565,map
57,A,Belgium,Antwerp,1565,book
1,4,Belgium,Antwerp,1567,map
